time (s),sample(v("/out" ?result "tran") 9n 649n "linear" 10n ) (V)
9.000E-9,1.055
19.00E-9,1.319
29.00E-9,1.390
39.00E-9,1.235
49.00E-9,924.4E-3
59.00E-9,600.5E-3
69.00E-9,409.9E-3
79.00E-9,439.0E-3
89.00E-9,674.0E-3
99.00E-9,1.008
109.0E-9,1.291
119.0E-9,1.394
129.0E-9,1.270
139.0E-9,973.4E-3
149.0E-9,641.8E-3
159.0E-9,424.8E-3
169.0E-9,420.8E-3
179.0E-9,631.1E-3
189.0E-9,960.2E-3
199.0E-9,1.259
209.0E-9,1.394
219.0E-9,1.301
229.0E-9,1.022
239.0E-9,685.4E-3
249.0E-9,444.1E-3
259.0E-9,407.1E-3
269.0E-9,590.7E-3
279.0E-9,911.4E-3
289.0E-9,1.224
299.0E-9,1.388
309.0E-9,1.328
319.0E-9,1.069
329.0E-9,731.0E-3
339.0E-9,467.8E-3
349.0E-9,398.1E-3
359.0E-9,553.2E-3
369.0E-9,862.4E-3
379.0E-9,1.186
389.0E-9,1.377
399.0E-9,1.350
409.0E-9,1.114
419.0E-9,778.2E-3
429.0E-9,495.5E-3
439.0E-9,393.9E-3
449.0E-9,519.0E-3
459.0E-9,813.7E-3
469.0E-9,1.145
479.0E-9,1.362
489.0E-9,1.368
499.0E-9,1.157
509.0E-9,826.5E-3
519.0E-9,527.1E-3
529.0E-9,394.4E-3
539.0E-9,488.4E-3
549.0E-9,765.8E-3
559.0E-9,1.101
569.0E-9,1.343
579.0E-9,1.382
589.0E-9,1.198
599.0E-9,875.4E-3
609.0E-9,562.3E-3
619.0E-9,399.8E-3
629.0E-9,461.6E-3
639.0E-9,719.1E-3
649.0E-9,1.055
