time (s),sample(v("/PMOS_out" ?result "tran") 4n 644n "linear" 10n ) (V)
4.000E-9,914.1E-3
14.00E-9,1.226
24.00E-9,1.402
34.00E-9,1.355
44.00E-9,1.109
54.00E-9,781.5E-3
64.00E-9,552.0E-3
74.00E-9,500.3E-3
84.00E-9,519.8E-3
94.00E-9,854.7E-3
104.0E-9,1.186
114.0E-9,1.390
124.0E-9,1.375
134.0E-9,1.152
144.0E-9,827.1E-3
154.0E-9,570.7E-3
164.0E-9,505.2E-3
174.0E-9,502.1E-3
184.0E-9,804.8E-3
194.0E-9,1.143
204.0E-9,1.373
214.0E-9,1.392
224.0E-9,1.194
234.0E-9,874.0E-3
244.0E-9,595.0E-3
254.0E-9,510.9E-3
264.0E-9,494.7E-3
274.0E-9,755.3E-3
284.0E-9,1.098
294.0E-9,1.351
304.0E-9,1.403
314.0E-9,1.233
324.0E-9,921.5E-3
334.0E-9,624.4E-3
344.0E-9,516.5E-3
354.0E-9,492.1E-3
364.0E-9,705.1E-3
374.0E-9,1.052
384.0E-9,1.326
394.0E-9,1.410
404.0E-9,1.269
414.0E-9,969.3E-3
424.0E-9,658.6E-3
434.0E-9,522.3E-3
444.0E-9,492.0E-3
454.0E-9,652.7E-3
464.0E-9,1.004
474.0E-9,1.296
484.0E-9,1.412
494.0E-9,1.301
504.0E-9,1.017
514.0E-9,696.6E-3
524.0E-9,529.3E-3
534.0E-9,493.5E-3
544.0E-9,599.0E-3
554.0E-9,954.4E-3
564.0E-9,1.263
574.0E-9,1.409
584.0E-9,1.330
594.0E-9,1.063
604.0E-9,737.8E-3
614.0E-9,538.6E-3
624.0E-9,496.2E-3
634.0E-9,552.1E-3
644.0E-9,904.7E-3
